feature,importance
air_temp_rolling_7h,0.9691964878850194
Wet Bulb Temperature,0.024886275738043428
temp_ratio,0.0017821454297707517
temp_difference,0.0014895091567066325
Battery Life,0.0007530646997578604
comfort_index,0.0006507575726239549
station_Foster Weather Station,0.0005183832291765191
Solar Radiation,0.0003829213162912313
air_temp_rolling_24h,0.00010077287313382984
station_Oak Street Weather Station,7.149798468973501e-05
hour,4.4257325526344426e-05
Humidity,2.7668421868798463e-05
Total Rain,2.1968492591870695e-05
Maximum Wind Speed,1.821302959122905e-05
Wind Direction,1.563381968884407e-05
Barometric Pressure,1.104507095833326e-05
month,6.4466252648370655e-06
wind_speed_rolling_7h,5.675722175018122e-06
Interval Rain,4.506820595324064e-06
Wind Speed,3.2908856249456874e-06
wind_speed_squared,2.8510797998085385e-06
year,2.5112569384168095e-06
day_of_week,1.6610070448802339e-06
Heading,1.5967597672052642e-06
Rain Intensity,4.010326985394246e-07
is_weekend,2.3465390904930835e-07
Precipitation Type,2.221107432579865e-07
